target,category,value
example.com,subdomain,pqr.example.com
example.com,subdomain,diro8n2.example.com
example.com,subdomain,dsmasterov80ms.example.com
example.com,subdomain,itgold.example.com
example.com,subdomain,support59.example.com
example.com,subdomain,master00.example.com
example.com,subdomain,carls972.example.com
example.com,subdomain,license1.example.com
example.com,subdomain,urgal58322.example.com
example.com,subdomain,tonitalian.waji.example.com
example.com,subdomain,vseslav.dorofeev.example.com
example.com,subdomain,fengjingshidai.example.com
example.com,subdomain,forexbo.ru.example.com
example.com,subdomain,cofense-vision.example.com
example.com,subdomain,voiceweb.example.com
example.com,subdomain,a57440334943.example.com
example.com,subdomain,ahmedelbadawy8448.example.com
example.com,subdomain,nastadnikov.example.com
example.com,subdomain,qwerty3691940.example.com
example.com,subdomain,slogon.example.com
example.com,subdomain,a84977653.example.com
example.com,subdomain,ernest.example.com
example.com,subdomain,ivfeanov.example.com
example.com,subdomain,legacy.example.com
example.com,subdomain,zxx-1974.example.com
example.com,subdomain,dengzewei600.example.com
example.com,subdomain,hell11net.example.com
example.com,subdomain,jg55541.example.com
example.com,subdomain,mitromjasigem.example.com
example.com,subdomain,a3gva.example.com
example.com,subdomain,denvert14.example.com
example.com,subdomain,hcapital150718.example.com
example.com,subdomain,omasgan10.example.com
example.com,subdomain,dickirick11.example.com
example.com,subdomain,kapcap4.example.com
example.com,subdomain,thehottech151.example.com
example.com,subdomain,147-255-227-183.w.example.com
example.com,subdomain,portugess.example.com
example.com,subdomain,support354.example.com
example.com,subdomain,www.hello-nextjs.example.com
example.com,subdomain,181548.example.com
example.com,subdomain,a507564119.example.com
example.com,subdomain,support181.example.com
example.com,subdomain,core.alma8.testing.example.com
example.com,subdomain,vds4508.example.com
example.com,subdomain,ebsau.example.com
example.com,subdomain,35349.example.com
example.com,subdomain,lx31belgorod.example.com
example.com,subdomain,webmail.techyeah.example.com
example.com,subdomain,host-134-119-179-243.example.com
example.com,subdomain,192710.example.com
example.com,subdomain,a219licai.example.com
example.com,subdomain,alexzhukov57.example.com
example.com,subdomain,dage.example.com
example.com,subdomain,hijacked-ip-address-192-83-197-254.example.com
example.com,subdomain,gerryweber.ru.example.com
example.com,subdomain,rustemrahmanow1992.example.com
example.com,subdomain,188692.example.com
example.com,subdomain,gizlin541.example.com
example.com,subdomain,slangcoquet.example.com
example.com,subdomain,vnc-check.example.com
example.com,subdomain,ilya1.nikitin.1994.work.example.com
example.com,subdomain,lokkidmi2.example.com
example.com,subdomain,hub3.lab.example.com
example.com,subdomain,samcram1.example.com
example.com,subdomain,account21.example.com
example.com,subdomain,dmitryi19031981.example.com
example.com,subdomain,pass212a.example.com
example.com,subdomain,regmail.example.com
example.com,subdomain,vzalogin.example.com
example.com,subdomain,lxbrg.example.com
example.com,subdomain,annimonirr2814.example.com
example.com,subdomain,dmax.example.com
example.com,subdomain,haleykoldnertitush.example.com
example.com,subdomain,izludec.example.com
example.com,subdomain,p4rzifal.example.com
example.com,subdomain,yamada116a.example.com
example.com,subdomain,proxy.example.com
example.com,subdomain,my.name.is.dim.example.com
example.com,subdomain,wrotzzzz.example.com
example.com,subdomain,n.a.eliseev.example.com
example.com,subdomain,ereminsmart.example.com
example.com,subdomain,kedoh78014.example.com
example.com,subdomain,ntdev1.example.com
example.com,subdomain,osnovra6.example.com
example.com,subdomain,requestsservice01.example.com
example.com,subdomain,roberto48.example.com
example.com,subdomain,thehottech986.example.com
example.com,subdomain,gdw.example.com
example.com,subdomain,annimonirr282.example.com
example.com,subdomain,perc-test.example.com
example.com,subdomain,ppkeve-nglab.example.com
example.com,subdomain,user.example.com
example.com,subdomain,yuri.chechetin.example.com
example.com,subdomain,dantor4ek.example.com
example.com,subdomain,robykeat1.example.com
example.com,subdomain,sub-7.example.com
example.com,subdomain,avs45.example.com
